ticker,market_cap,sector,industry,meta_updated_at
360ONE.NS,410240417792.0,Financial Services,Asset Management,2026-03-25
3MINDIA.NS,359750008832.0,Industrials,Conglomerates,2026-03-25
ABB.NS,1322596958208.0,Industrials,Specialty Industrial Machinery,2026-03-25
ACC.NS,258169946112.0,Basic Materials,Building Materials,2026-03-25
ACMESOLAR.NS,155413577728.0,Utilities,Utilities - Renewable,2026-03-25
AIAENG.NS,322477883392.0,Industrials,Specialty Industrial Machinery,2026-03-25
APLAPOLLO.NS,556541214720.0,Basic Materials,Steel,2026-03-25
AUBANK.NS,682624286720.0,Financial Services,Banks - Regional,2026-03-25
AWL.NS,245792636928.0,Consumer Defensive,Packaged Foods,2026-03-25
AADHARHFC.NS,203190435840.0,Financial Services,Mortgage Finance,2026-03-25
AARTIIND.NS,158112776192.0,Basic Materials,Specialty Chemicals,2026-03-25
AAVAS.NS,90038124544.0,Financial Services,Mortgage Finance,2026-03-25
ABBOTINDIA.NS,571181236224.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
ACE.NS,98580611072.0,Industrials,Farm & Heavy Construction Machinery,2026-03-25
ADANIENSOL.NS,1178591690752.0,Utilities,Utilities - Independent Power Producers,2026-03-25
ADANIENT.NS,2599930822656.0,Energy,Thermal Coal,2026-03-25
ADANIGREEN.NS,1422748418048.0,Utilities,Utilities - Renewable,2026-03-25
ADANIPORTS.NS,3190061531136.0,Industrials,Marine Shipping,2026-03-25
ADANIPOWER.NS,2973329260544.0,Utilities,Utilities - Independent Power Producers,2026-03-25
ATGL.NS,578861334528.0,Utilities,Utilities - Regulated Gas,2026-03-25
ABCAPITAL.NS,820853538816.0,Financial Services,Financial Conglomerates,2026-03-25
ABFRL.NS,72606171136.0,Consumer Cyclical,Apparel Manufacturing,2026-03-25
ABLBL.NS,114528460800.0,Consumer Cyclical,Apparel Retail,2026-03-25
ABREL.NS,130094948352.0,Real Estate,Real Estate Services,2026-03-25
ABSLAMC.NS,270510342144.0,Financial Services,Asset Management,2026-03-25
AEGISLOG.NS,216882905088.0,Energy,Oil & Gas Refining & Marketing,2026-03-25
AEGISVOPAK.NS,195361079296.0,Energy,Oil & Gas Equipment & Services,2026-03-25
AFCONS.NS,105517408256.0,Industrials,Engineering & Construction,2026-03-25
AFFLE.NS,195674587136.0,Communication Services,Advertising Agencies,2026-03-25
AJANTPHARM.NS,365789839360.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
AKUMS.NS,75230511104.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
AKZOINDIA.NS,132372021248.0,Basic Materials,Specialty Chemicals,2026-03-25
APLLTD.NS,135001513984.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
