"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 500","23,462.05","23,502.95","23,340.75","23,403.80","23,448.50","-","44.70","0.19","2,55,36,57,052","87,469.87","24,144.20","19,519.85","3.27","14.84"
"TEJASNET","323.55","381.35","323.55","317.80","381.35","-","63.55","20.00","7,38,92,675","2,644.69","914.40","294.00","25.42","-49.94"
"J&KBANK","114.66","122.25","113.20","112.31","121.10","-","8.79","7.83","3,38,91,865","400.50","122.25","87.30","16.33","23.89"
"KSB","779.00","806.00","752.65","717.10","772.10","-","55.00","7.67","1,74,34,400","1,369.93","912.00","600.75","11.34","24.89"
"FINCABLES","829.00","882.00","826.20","826.60","880.80","-","54.20","6.56","12,52,574","107.29","1,028.00","700.80","22.04","-1.66"
"MANKIND","2,155.70","2,284.90","2,145.90","2,155.70","2,281.00","-","125.30","5.81","27,70,867","624.23","2,716.50","2,012.30","8.23","-2.61"
"TARIL","297.00","318.00","297.00","296.08","311.20","-","15.12","5.11","1,13,31,491","352.92","594.00","224.05","33.85","-26.92"
"FIRSTCRY","211.50","223.25","211.10","210.50","220.80","-","10.30","4.89","73,52,617","161.15","438.70","207.05","-18.75","-43.20"
"DATAPATTNS","3,085.00","3,280.00","3,046.00","3,070.60","3,212.30","-","141.70","4.61","20,43,919","656.34","3,280.00","1,351.15","47.18","99.76"
"SAILIFE","923.80","966.10","920.15","923.80","966.00","-","42.20","4.57","5,50,451","52.51","983.35","636.10","21.51","35.98"
"AADHARHFC","461.00","477.90","454.10","457.25","477.30","-","20.05","4.38","6,47,332","30.32","547.80","361.60","1.90","25.90"
"MAHSEAMLES","548.60","572.35","547.45","544.70","567.00","-","22.30","4.09","7,74,663","43.85","773.80","500.70","11.49","-13.28"
"OFSS","6,651.00","6,880.00","6,631.00","6,612.00","6,870.00","-","258.00","3.90","2,54,463","173.39","9,950.00","6,399.50","-13.65","-16.31"
"TIINDIA","2,615.00","2,726.00","2,606.50","2,618.70","2,720.00","-","101.30","3.87","8,62,660","232.73","3,419.90","2,164.90","22.56","4.80"
"FORTIS","935.15","965.50","935.15","930.75","965.00","-","34.25","3.68","28,99,022","277.04","1,104.30","589.05","14.34","58.63"
"VMM","123.00","129.50","123.00","122.97","127.45","-","4.48","3.64","4,02,25,825","511.67","157.60","95.99","2.30","23.68"
"IDFCFIRSTB","70.22","73.16","69.85","70.22","72.74","-","2.52","3.59","14,22,73,285","1,026.79","87.00","52.46","-12.35","23.69"
"ONESOURCE","1,299.20","1,339.10","1,276.20","1,292.80","1,337.00","-","44.20","3.42","1,28,535","16.83","2,248.00","1,057.00","-6.66","-0.87"
"SCHNEIDER","871.10","904.00","840.00","871.10","900.50","-","29.40","3.38","1,36,565","12.14","1,052.00","540.00","48.43","37.27"
"NEWGEN","505.00","535.40","503.20","499.90","516.50","-","16.60","3.32","1,25,21,842","649.33","1,377.15","458.65","-17.26","-46.20"
"BSOFT","371.95","388.00","371.20","371.75","383.90","-","12.15","3.27","21,31,686","81.78","474.00","331.00","-5.40","-16.31"
"WELCORP","801.60","831.00","801.60","797.25","822.90","-","25.65","3.22","9,29,743","76.50","994.00","664.30","12.63","7.94"
"PRAJIND","302.95","316.95","300.50","301.60","311.00","-","9.40","3.12","32,48,032","100.50","588.45","273.00","9.68","-41.78"
"IFCI","58.80","61.92","58.42","58.37","60.15","-","1.78","3.05","2,89,04,645","174.50","74.50","36.20","6.74","34.17"
"TMPV","381.70","393.30","380.10","381.85","393.05","-","11.20","2.93","1,46,97,484","571.89","744.00","335.60","14.11","-40.59"
"NAVA","582.35","605.45","581.35","583.20","599.95","-","16.75","2.87","5,71,916","34.15","735.00","375.25","13.04","44.83"
"EICHERMOT","8,040.00","8,225.00","8,024.50","8,008.00","8,224.00","-","216.00","2.70","4,27,401","346.69","8,225.00","4,755.00","17.94","64.82"
"BANKBARODA","316.00","325.50","316.00","315.85","324.25","-","8.40","2.66","2,05,02,406","659.48","325.50","190.70","9.49","58.35"
"ABREL","1,262.40","1,310.90","1,262.40","1,262.40","1,295.00","-","32.60","2.58","1,96,518","25.39","2,537.90","1,186.00","0.50","-31.53"
"NSLNISP","39.45","40.69","39.32","39.23","40.24","-","1.01","2.57","64,74,453","26.00","49.65","32.13","1.64","7.31"
"INDUSINDBK","938.00","968.85","936.30","937.35","961.30","-","23.95","2.56","89,74,624","857.73","1,063.30","606.00","7.71","-7.05"
"BDL","1,245.00","1,277.40","1,245.00","1,240.80","1,272.60","-","31.80","2.56","9,03,679","114.15","2,096.60","907.00","-9.62","24.31"
"APARINDS","10,600.00","10,882.00","10,475.00","10,579.00","10,845.00","-","266.00","2.51","94,202","100.44","11,079.50","4,308.05","54.20","71.00"
"ACE","871.20","916.70","871.20","871.20","893.10","-","21.90","2.51","5,16,230","46.52","1,389.00","775.45","12.86","-22.04"
"LINDEINDIA","6,719.50","6,967.00","6,714.00","6,710.50","6,875.00","-","164.50","2.45","75,386","51.84","7,870.00","5,242.40","17.25","8.70"
"ALKEM","5,635.00","5,764.50","5,622.50","5,625.00","5,760.00","-","135.00","2.40","84,228","48.10","5,933.50","4,491.65","0.17","26.21"
"MAHABANK","74.75","75.90","73.15","74.08","75.79","-","1.71","2.31","4,20,42,414","314.14","75.90","42.00","15.48","55.59"
"BEL","440.60","449.90","440.00","439.30","449.30","-","10.00","2.28","1,37,38,213","612.56","461.65","243.50","9.40","75.06"
"JSWCEMENT","125.01","128.81","124.30","124.92","127.75","-","2.83","2.27","1,11,36,610","141.48","162.15","106.65","9.66","-"
"SOLARINDS","13,405.00","13,845.00","13,405.00","13,459.00","13,760.00","-","301.00","2.24","1,48,694","204.09","17,820.00","8,482.50","8.71","55.13"
"UPL","626.85","641.70","622.00","626.20","640.00","-","13.80","2.20","48,74,080","309.12","812.20","588.85","-8.90","-1.16"
"ENGINERSIN","220.97","225.45","219.53","219.80","224.54","-","4.74","2.16","73,15,499","163.55","255.45","142.20","34.33","35.46"
"TRIVENI","387.10","398.95","383.45","385.10","393.40","-","8.30","2.16","3,14,622","12.35","468.10","313.10","18.89","8.09"
"CREDITACC","1,310.00","1,349.00","1,300.00","1,306.30","1,334.00","-","27.70","2.12","3,52,011","46.93","1,496.70","858.05","-4.21","53.96"
"ZENSARTECH","545.25","568.90","542.20","542.80","554.00","-","11.20","2.06","11,47,432","64.23","894.00","535.85","-21.39","-31.10"
"M&MFIN","378.25","387.60","373.45","378.25","386.00","-","7.75","2.05","14,78,727","56.52","412.20","231.02","7.03","46.71"
